num_round_functions,encryption_strength_score
100,0.0019659239842726084
1,0.0022455089820359285
10,0.0022935779816513767
100,0.0016835016835016828
1,0.0021739130434782618
10,0.002500000000000001
100,0.0020661157024793398
1,0.002124645892351275
10,0.002500000000000001
100,0.0021398002853067048
1,0.002459016393442624
10,0.001935483870967743
100,0.002074688796680498
1,0.0021739130434782613
10,0.0024350649350649354
100,0.0021276595744680856
1,0.0020979020979020983
10,0.0022692889561270807
100,0.00206896551724138
1,0.0023584905660377366
10,0.0022354694485842035
100,0.0023183925811437415
1,0.0021126760563380293
10,0.0020604395604395605
100,0.002027027027027027
1,0.002060439560439561
10,0.002248875562218891
